term,definition,category,main_ingredients
Buffalo Wings,"Spicy chicken wings coated in a tangy, hot sauce, typically served with celery and blue cheese or ranch dressing.",Appetizer,chicken
Mozzarella Sticks,"Breaded and fried mozzarella cheese, served with marinara sauce for dipping.",Appetizer,cheese
Nachos,"Tortilla chips topped with melted cheese, jalapeños, and often meats, beans, or salsa, served with sour cream and guacamole.",Appetizer,cheese,tortilla chips
Deviled Eggs,"Hard-boiled eggs halved, with yolks mixed with mayonnaise, mustard, and spices, then piped back into the whites.",Appetizer,eggs
Spinach Artichoke Dip,"Creamy dip made with spinach, artichoke hearts, cream cheese, and parmesan, served warm with chips or bread.",Appetizer,spinach,artichoke,cheese
Bruschetta,"Toasted bread topped with a mixture of diced tomatoes, garlic, basil, and olive oil.",Appetizer,tomatoes,bread
Calamari,"Fried squid rings, lightly breaded, served with marinara sauce or lemon aioli.",Appetizer,squid
Chicken Quesadilla,"Flour tortilla filled with shredded chicken, cheese, and spices, grilled and served with salsa and sour cream.",Appetizer,chicken,cheese,tortilla
Shrimp Cocktail,"Chilled shrimp served with a tangy cocktail sauce made from ketchup, horseradish, and lemon.",Appetizer,shrimp
Stuffed Mushrooms,"Mushroom caps filled with a mixture of breadcrumbs, cheese, garlic, and herbs, then baked.",Appetizer,mushrooms,cheese
Potato Skins,"Hollowed potato halves topped with melted cheese, bacon, and green onions, served with sour cream.",Appetizer,potatoes,cheese,bacon
Onion Rings,"Sliced onions dipped in batter or breadcrumbs and deep-fried, often served with ketchup or ranch.",Appetizer,onions
Guacamole and Chips,"Mashed avocado mixed with lime, cilantro, onion, and tomato, served with tortilla chips.",Appetizer,avocado,tortilla chips
Pigs in a Blanket,"Mini sausages wrapped in puff pastry or crescent roll dough and baked until golden.",Appetizer,sausage,pastry
Jalapeño Poppers,"Jalapeño peppers stuffed with cream cheese or cheddar, breaded, and fried.",Appetizer,jalapeños,cheese
Hummus and Pita,"Creamy chickpea dip flavored with tahini, lemon, and garlic, served with soft pita bread.",Appetizer,chickpeas,pita
